the_geom,latlong,lat,long,deaths,cartodb_id,created_at,updated_at
0101000020E6100000AF3E1EFAEEEE2CC0427A8A1C22223A40,"26.133333, -14.466667",26.133333,-14.466667,22,38,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000B9A981E6733A3140BDE3141DC9553A40,"26.3351, 17.228331",26.3351,17.228331,1371,39,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000FC1A498270CD3E407BA2EBC20FD23A40,"26.820553, 30.802498",26.820553,30.802498,427,40,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000286552431B682AC04D4EED0C53273B40,"27.153611, -13.203333",27.153611,-13.203333,348,41,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000096422097380632C0DC476E4DBAB93B40,"27.725499, -18.024301",27.725499,-18.024301,41,42,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000046CEC29E76282FC066834C3272C23B40,"27.759555, -15.57903",27.759555,-15.57903,5,43,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
,,50.9247443,1.8000638,1,750,2015-06-12 10:39:00.713448+00,2015-06-12 10:39:00.713448+00
0101000020E610000065726A67980A2FC0E4141DC9E5C73B40,"27.78085, -15.520694",27.78085,-15.520694,2,44,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000676325E659512FC0F0BE2A172ACB3B40,"27.793611, -15.658889",27.793611,-15.658889,30,45,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000FF91E9D0E9C92EC0A723809BC5DB3B40,"27.858484, -15.394362",27.858484,-15.394362,1,46,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000002E04392861D629C01D7233DC80EF3B40,"27.93556, -12.91871",27.93556,-12.91871,85,47,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000071AC8BDB68102FC036E84B6F7F023C40,"28.009757, -15.53205",28.009757,-15.53205,5,48,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000F37519FED38DFA3FD1CABDC0AC083C40,"28.033886, 1.659626",28.033886,1.659626,127,49,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000581F0F7D77B730C0CDCCCCCCCC0C3C40,"28.05, -16.716667",28.05,-16.716667,2,50,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000017B9A7AB3B662FC03221E692AA193C40,"28.100259, -15.699674",28.100259,-15.699674,1,51,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000B01D8CD8273831C0C68B8521721A3C40,"28.103304, -17.219358",28.103304,-17.219358,29,52,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000088B9A46ABBE12EC0FE60E0B9F71C3C40,"28.113155, -15.440883",28.113155,-15.440883,5,53,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000B7EEE6A90EA130C0E2B034F0A34A3C40,"28.291564, -16.62913",28.291564,-16.62913,1120,54,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000229B16B7B1B2CC0E0A293A5D65B3C40,"28.358744, -14.053676",28.358744,-14.053676,488,55,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000B37A87DBA18D30C0EA42ACFE08633C40,"28.386856, -16.553251",28.386856,-16.553251,1,56,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000B2101D0247BA2BC0840D4FAF94653C40,"28.3968, -13.863823",28.3968,-13.863823,1,57,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000689604A8A9052CC05A4A9693506A3C40,"28.415292, -14.01106",28.415292,-14.01106,2,58,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000006666666666662E40CDCCCCCCCC0C4240,"36.1, 15.2",36.1,15.2,50,211,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000CC46E7FC145330C05BB4006DAB913C40,"28.569022, -16.324539",28.569022,-16.324539,53,59,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000014AE47E17A9429C0C3F5285C8F023D40,"29.01, -12.79",29.01,-12.79,12,60,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000C80BE9F0102E2BC0D1AFAD9FFE0B3D40,"29.046854, -13.589973",29.046854,-13.589973,74,61,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000005281936DE01E2BC0C367EBE0600F3D40,"29.060072, -13.560306",29.060072,-13.560306,12,62,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000C30E63D2DF854A40E35295B6B81A3D40,"29.104381, 53.045893",29.104381,53.045893,30,63,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000002828452BF7564140F0879FFF1E003E40,"30.000473, 34.679418",30.000473,34.679418,1,64,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000005646239F573C3F40CF49EF1B5F0B3E40,"30.04442, 31.235712",30.04442,31.235712,28,65,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000007BBC900E0F413F404FAC53E57B223E40,"30.134703, 31.254136",30.134703,31.254136,305,66,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000AA2EE0390044140BDC799266C273E40,"30.153994, 34.035645",30.153994,34.035645,10,67,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000E5EFDE51632E3F4076A4FACE2F723E40,"30.446042, 31.181203",30.446042,31.181203,26,68,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000AB7B6473D5FC3E40B4AA251DE5983E40,"30.597246, 30.987632",30.597246,30.987632,101,69,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000001F82AAD1AB393440EC4B361E6CC13E40,"30.755556, 20.225278",30.755556,20.225278,60,70,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000083FC6CE4BAFD3E40649291B3B0C73E40,"30.78004, 30.991133",30.78004,30.991133,2,71,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000036B05582C52940406D1ADB6B41D73E40,"30.840842, 32.32634",30.840842,32.32634,12,72,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000FF9600FC538A1FC07A17EFC7ED073F40,"31.030972, -7.885086",31.030972,-7.885086,36,73,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000004B8FA67A32EB3D40F530B43A39333F40,"31.200092, 29.918739",31.200092,29.918739,133,74,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000093E52494BE1E4140E525FF93BF473F40,"31.280267, 34.240191",31.280267,34.240191,4,75,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000DF516342CC153F4012178046E98E3F40,"31.558247, 31.085148",31.558247,31.085148,3,76,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000074D2FBC6D75E1CC0842D76FBACCA3F40,"31.791702, -7.09262",31.791702,-7.09262,77,77,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000072A59E05A14C1EC0B62DCA6C90CD3F40,"31.802985, -7.574833",31.802985,-7.574833,16,78,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999993E400000000000004040,"32, 30.6",32,30.6,1,79,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000F1B8A81611113440DFC2BAF1EE0E4040,"32.116667, 20.066667",32.116667,20.066667,58,80,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009813B4C9E19D41409BE447FC8A174040,"32.183929, 35.233453",32.183929,35.233453,5,81,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000003333333333B33D406666666666264040,"32.3, 29.7",32.3,29.7,15,82,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000F35A09DD257922C04D6A6803B0274040,"32.310059, -9.236617",32.310059,-9.236617,10,83,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000FF78AF5A99302E40A77A32FFE82F4040,"32.374298, 15.09492",32.374298,15.09492,56,84,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000062122EE411D84A4030D978B0C5364040,"32.427908, 53.688046",32.427908,53.688046,95,85,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999992A400000000000404040,"32.5, 13.3",32.5,13.3,12,86,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000003333333333332A406666666666664040,"32.8, 13.1",32.8,13.1,13,87,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000E9263108AC9C2C4004560E2DB26D4040,"32.857, 14.306",32.857,14.306,150,88,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000CA8AE1EA00602A4081CD397826704040,"32.876174, 13.187507",32.876174,13.187507,1281,89,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000A45181936D602A40D4B6611404714040,"32.882937, 13.188336",32.882937,13.188336,600,90,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
,,100.9247443,1.8000638,1,751,2015-06-12 10:39:18.301891+00,2015-06-12 10:39:18.301891+00
